conference,url,title,authors,abstract,citations
acl,https://aclanthology.org/P13-1070.pdf,Using Conceptual Class Attributes to Characterize Social Media Users,"Shane Bergsma,Benjamin Van Durme",None,66
acl,https://aclanthology.org/P13-1071.pdf,The Impact of Topic Bias on Quality Flaw Prediction in Wikipedia,"Oliver Ferschke,Iryna Gurevych,Marc Rittberger",None,13
acl,https://aclanthology.org/P13-1072.pdf,Mining Informal Language from Chinese Microtext: Joint Word Recognition and Segmentation,"Aobo Wang,Min-Yen Kan",None,28
acl,https://aclanthology.org/P13-1073.pdf,Generating Synthetic Comparable Questions for News Articles,"Oleg Rokhlenko,Idan Szpektor",None,9
acl,https://aclanthology.org/P13-1074.pdf,Punctuation Prediction with Transition-based Parsing,"Dongdong Zhang,Shuangzhi Wu,Nan Yang,Mu Li",None,34
acl,https://aclanthology.org/P13-1075.pdf,Discriminative Learning with Natural Annotations: Word Segmentation as a Case Study,"Wenbin Jiang,Meng Sun,Yajuan Lü,Yating Yang,Qun Liu",None,33
acl,https://aclanthology.org/P13-1076.pdf,Graph-based Semi-Supervised Model for Joint Chinese Word Segmentation and Part-of-Speech Tagging,"Xiaodong Zeng,Derek F. Wong,Lidia S. Chao,Isabel Trancoso",None,49
acl,https://aclanthology.org/P13-1077.pdf,An Infinite Hierarchical Bayesian Model of Phrasal Translation,"Trevor Cohn,Gholamreza Haffari",None,11
acl,https://aclanthology.org/P13-1078.pdf,Additive Neural Networks for Statistical Machine Translation,"Lemao Liu,Taro Watanabe,Eiichiro Sumita,Tiejun Zhao",None,41
acl,https://aclanthology.org/P13-1079.pdf,Hierarchical Phrase Table Combination for Machine Translation,"Conghui Zhu,Taro Watanabe,Eiichiro Sumita,Tiejun Zhao",None,5
acl,https://aclanthology.org/P13-1080.pdf,Shallow Local Multi-Bottom-up Tree Transducers in Statistical Machine Translation,"Fabienne Braune,Nina Seemann,Daniel Quernheim,Andreas Maletti",None,31
acl,https://aclanthology.org/P13-1081.pdf,Enlisting the Ghost: Modeling Empty Categories for Machine Translation,"Bing Xiang,Xiaoqiang Luo,Bowen Zhou",None,30
acl,https://aclanthology.org/P13-1082.pdf,A Multi-Domain Translation Model Framework for Statistical Machine Translation,"Rico Sennrich,Holger Schwenk,Walid Aransa",None,47
