conference,url,title,authors,abstract
emnlp,https://aclanthology.org/D13-1068.pdf,Optimized Event Storyline Generation based on Mixture-Event-Aspect Model,"Lifu Huang,Lian’en Huang",None
emnlp,https://aclanthology.org/D13-1069.pdf,Automatically Determining a Proper Length for Multi-Document Summarization: A Bayesian Nonparametric Approach,"Tengfei Ma,Hiroshi Nakagawa",None
emnlp,https://aclanthology.org/D13-1070.pdf,A Discourse-Driven Content Model for Summarising Scientific Articles Evaluated in a Complex Question Answering Task,"Maria Liakata,Simon Dobnik,Shyamasree Saha,Colin Batchelor,Dietrich Rebholz-Schuhmann",None
emnlp,https://aclanthology.org/D13-1071.pdf,Optimal Incremental Parsing via Best-First Dynamic Programming,"Kai Zhao,James Cross,Liang Huang",None
emnlp,https://aclanthology.org/D13-1072.pdf,Exploiting Language Models for Visual Recognition,"Dieu-Thu Le,Jasper Uijlings,Raffaella Bernardi",None
emnlp,https://aclanthology.org/D13-1073.pdf,Mining Scientific Terms and their Definitions: A Study of the ACL Anthology,"Yiping Jin,Min-Yen Kan,Jun-Ping Ng,Xiangnan He",None
emnlp,https://aclanthology.org/D13-1074.pdf,Joint Learning and Inference for Grammatical Error Correction,"Alla Rozovskaya,Dan Roth",None
emnlp,https://aclanthology.org/D13-1075.pdf,With Blinkers on: Robust Prediction of Eye Movements across Readers,"Franz Matthies,Anders Søgaard",None
emnlp,https://aclanthology.org/D13-1076.pdf,Using Paraphrases and Lexical Semantics to Improve the Accuracy and the Robustness of Supervised Models in Situated Dialogue Systems,"Claire Gardent,Lina M. Rojas Barahona",None
emnlp,https://aclanthology.org/D13-1077.pdf,Cascading Collective Classification for Bridging Anaphora Recognition using a Rich Linguistic Feature Set,"Yufang Hou,Katja Markert,Michael Strube",None
emnlp,https://aclanthology.org/D13-1078.pdf,A Synchronous Context Free Grammar for Time Normalization,Steven Bethard,None
emnlp,https://aclanthology.org/D13-1079.pdf,Rule-Based Information Extraction is Dead! Long Live Rule-Based Information Extraction Systems!,"Laura Chiticariu,Yunyao Li,Frederick R. Reiss",None
