conference,url,title,authors,abstract
acl,https://aclanthology.org/P10-1060.pdf,Generating Focused Topic-Specific Sentiment Lexicons,"Valentin Jijkoun,Maarten de Rijke,Wouter Weerkamp",None
acl,https://aclanthology.org/P10-1061.pdf,Evaluating Multilanguage-Comparability of Subjectivity Analysis Systems,"Jungi Kim,Jin-Ji Li,Jong-Hyeok Lee",None
acl,https://aclanthology.org/P10-1062.pdf,Error Detection for Statistical Machine Translation Using Linguistic Features,"Deyi Xiong,Min Zhang,Haizhou Li",None
acl,https://aclanthology.org/P10-1063.pdf,TrustRank: Inducing Trust in Automatic Translations via Ranking,"Radu Soricut,Abdessamad Echihabi",None
acl,https://aclanthology.org/P10-1064.pdf,Bridging SMT and TM with Translation Recommendation,"Yifan He,Yanjun Ma,Josef van Genabith,Andy Way",None
acl,https://aclanthology.org/P10-1065.pdf,On Jointly Recognizing and Aligning Bilingual Named Entities,"Yufeng Chen,Chengqing Zong,Keh-Yih Su",None
acl,https://aclanthology.org/P10-1066.pdf,Generating Templates of Entity Summaries with an Entity-Aspect Model and Pattern Mining,"Peng Li,Jing Jiang,Yinglin Wang",None
acl,https://aclanthology.org/P10-1067.pdf,Comparable Entity Mining from Comparative Questions,"Shasha Li,Chin-Yew Lin,Young-In Song,Zhoujun Li",None
acl,https://aclanthology.org/P10-1068.pdf,Towards Robust Multi-Tool Tagging. An OWL/DL-Based Approach,Christian Chiarcos,None
acl,https://aclanthology.org/P10-1069.pdf,Temporal Information Processing of a New Language: Fast Porting with Minimal Resources,"Francisco Costa,António Branco",None
acl,https://aclanthology.org/P10-1070.pdf,"A Taxonomy, Dataset, and Classifier for Automatic Noun Compound Interpretation","Stephen Tratz,Eduard Hovy",None
acl,https://aclanthology.org/P10-1071.pdf,Models of Metaphor in NLP,Ekaterina Shutova,None
acl,https://aclanthology.org/P10-1072.pdf,A Game-Theoretic Model of Metaphorical Bargaining,"Beata Beigman Klebanov,Eyal Beigman",None
acl,https://aclanthology.org/P10-1073.pdf,Kernel Based Discourse Relation Recognition with Temporal Ordering Information,"WenTing Wang,Jian Su,Chew Lim Tan",None
acl,https://aclanthology.org/P10-1074.pdf,Hierarchical Joint Learning: Improving Joint Parsing and Named Entity Recognition with Non-Jointly Labeled Data,"Jenny Rose Finkel,Christopher D. Manning",None
acl,https://aclanthology.org/P10-1075.pdf,Detecting Errors in Automatically-Parsed Dependency Relations,Markus Dickinson,None
acl,https://aclanthology.org/P10-1076.pdf,Boosting-Based System Combination for Machine Translation,"Tong Xiao,Jingbo Zhu,Muhua Zhu,Huizhen Wang",None
acl,https://aclanthology.org/P10-1077.pdf,Fine-Grained Genre Classification Using Structural Learning Algorithms,"Zhili Wu,Katja Markert,Serge Sharoff",None
acl,https://aclanthology.org/P10-1078.pdf,Metadata-Aware Measures for Answer Summarization in Community Question Answering,"Mattia Tomasoni,Minlie Huang",None
acl,https://aclanthology.org/P10-1079.pdf,A Hybrid Rule/Model-Based Finite-State Framework for Normalizing SMS Messages,"Richard Beaufort,Sophie Roekhaut,Louise-Amélie Cougnon,Cédrick Fairon",None
acl,https://aclanthology.org/P10-1080.pdf,Letter-Phoneme Alignment: An Exploration,"Sittichai Jiampojamarn,Grzegorz Kondrak",None
acl,https://aclanthology.org/P10-1081.pdf,Using Document Level Cross-Event Inference to Improve Event Extraction,"Shasha Liao,Ralph Grishman",None
acl,https://aclanthology.org/P10-1082.pdf,"Now, Where Was I? Resumption Strategies for an In-Vehicle Dialogue System",Jessica Villing,None
acl,https://aclanthology.org/P10-1083.pdf,Learning to Follow Navigational Directions,"Adam Vogel,Daniel Jurafsky",None
acl,https://aclanthology.org/P10-1084.pdf,A Hybrid Hierarchical Model for Multi-Document Summarization,"Asli Celikyilmaz,Dilek Hakkani-Tur",None
acl,https://aclanthology.org/P10-1085.pdf,Improving Statistical Machine Translation with Monolingual Collocation,"Zhanyi Liu,Haifeng Wang,Hua Wu,Sheng Li",None
acl,https://aclanthology.org/P10-1086.pdf,Bilingual Sense Similarity for Statistical Machine Translation,"Boxing Chen,George Foster,Roland Kuhn",None
acl,https://aclanthology.org/P10-1087.pdf,Untangling the Cross-Lingual Link Structure of Wikipedia,"Gerard de Melo,Gerhard Weikum",None
acl,https://aclanthology.org/P10-1088.pdf,Bucking the Trend: Large-Scale Cost-Focused Active Learning for Statistical Machine Translation,"Michael Bloodgood,Chris Callison-Burch",None
acl,https://aclanthology.org/P10-1089.pdf,Creating Robust Supervised Classifiers via Web-Scale N-Gram Data,"Shane Bergsma,Emily Pitler,Dekang Lin",None
acl,https://aclanthology.org/P10-1090.pdf,Convolution Kernel over Packed Parse Forest,"Min Zhang,Hui Zhang,Haizhou Li",None
acl,https://aclanthology.org/P10-1091.pdf,Estimating Strictly Piecewise Distributions,"Jeffrey Heinz,James Rogers",None
acl,https://aclanthology.org/P10-1092.pdf,String Extension Learning,Jeffrey Heinz,None
acl,https://aclanthology.org/P10-1093.pdf,Compositional Matrix-Space Models of Language,"Sebastian Rudolph,Eugenie Giesbrecht",None
acl,https://aclanthology.org/P10-1094.pdf,Cross-Language Document Summarization Based on Machine Translation Quality Prediction,"Xiaojun Wan,Huiying Li,Jianguo Xiao",None
acl,https://aclanthology.org/P10-1095.pdf,A New Approach to Improving Multilingual Summarization Using a Genetic Algorithm,"Marina Litvak,Mark Last,Menahem Friedman",None
acl,https://aclanthology.org/P10-1096.pdf,Bayesian Synchronous Tree-Substitution Grammar Induction and Its Application to Sentence Compression,"Elif Yamangil,Stuart M. Shieber",None
acl,https://aclanthology.org/P10-1097.pdf,Contextualizing Semantic Representations Using Syntactically Enriched Vector Models,"Stefan Thater,Hagen Fürstenau,Manfred Pinkal",None
acl,https://aclanthology.org/P10-1098.pdf,Bootstrapping Semantic Analyzers from Non-Contradictory Texts,"Ivan Titov,Mikhail Kozhevnikov",None
acl,https://aclanthology.org/P10-1099.pdf,Open-Domain Semantic Role Labeling by Modeling Word Spans,"Fei Huang,Alexander Yates",None
acl,https://aclanthology.org/P10-1100.pdf,Learning Script Knowledge with Web Experiments,"Michaela Regneri,Alexander Koller,Manfred Pinkal",None
acl,https://aclanthology.org/P10-1101.pdf,Starting from Scratch in Semantic Role Labeling,"Michael Connor,Yael Gertner,Cynthia Fisher,Dan Roth",None
acl,https://aclanthology.org/P10-1102.pdf,Modeling Norms of Turn-Taking in Multi-Party Conversation,Kornel Laskowski,None
acl,https://aclanthology.org/P10-1103.pdf,Optimising Information Presentation for Spoken Dialogue Systems,"Verena Rieser,Oliver Lemon,Xingkun Liu",None
acl,https://aclanthology.org/P10-1104.pdf,Combining Data and Mathematical Models of Language Change,"Morgan Sonderegger,Partha Niyogi",None
acl,https://aclanthology.org/P10-1105.pdf,Finding Cognate Groups Using Phylogenies,"David Hall,Dan Klein",None
acl,https://aclanthology.org/P10-1106.pdf,An Exact A* Method for Deciphering Letter-Substitution Ciphers,"Eric Corlett,Gerald Penn",None
acl,https://aclanthology.org/P10-1107.pdf,A Statistical Model for Lost Language Decipherment,"Benjamin Snyder,Regina Barzilay,Kevin Knight",None
acl,https://aclanthology.org/P10-1108.pdf,Efficient Inference through Cascades of Weighted Tree Transducers,"Jonathan May,Kevin Knight,Heiko Vogler",None
acl,https://aclanthology.org/P10-1109.pdf,A Tree Transducer Model for Synchronous Tree-Adjoining Grammars,Andreas Maletti,None
acl,https://aclanthology.org/P10-1110.pdf,Dynamic Programming for Linear-Time Incremental Parsing,"Liang Huang,Kenji Sagae",None
acl,https://aclanthology.org/P10-1111.pdf,Hard Constraints for Grammatical Function Labelling,"Wolfgang Seeker,Ines Rehbein,Jonas Kuhn,Josef van Genabith",None
acl,https://aclanthology.org/P10-1112.pdf,"Simple, Accurate Parsing with an All-Fragments Grammar","Mohit Bansal,Dan Klein",None
acl,https://aclanthology.org/P10-1113.pdf,Joint Syntactic and Semantic Parsing of Chinese,"Junhui Li,Guodong Zhou,Hwee Tou Ng",None
acl,https://aclanthology.org/P10-1114.pdf,Cross-Language Text Classification Using Structural Correspondence Learning,"Peter Prettenhofer,Benno Stein",None
acl,https://aclanthology.org/P10-1115.pdf,Cross-Lingual Latent Topic Extraction,"Duo Zhang,Qiaozhu Mei,ChengXiang Zhai",None
acl,https://aclanthology.org/P10-1116.pdf,Topic Models for Word Sense Disambiguation and Token-Based Idiom Detection,"Linlin Li,Benjamin Roth,Caroline Sporleder",None
acl,https://aclanthology.org/P10-1117.pdf,"PCFGs, Topic Models, Adaptor Grammars and Learning Topical Collocations and the Structure of Proper Names",Mark Johnson,None
acl,https://aclanthology.org/P10-1118.pdf,A Cognitive Cost Model of Annotations Based on Eye-Tracking Data,"Katrin Tomanek,Udo Hahn,Steffen Lohmann,Jürgen Ziegler",None
acl,https://aclanthology.org/P10-1119.pdf,A Rational Model of Eye Movement Control in Reading,"Klinton Bicknell,Roger Levy",None
acl,https://aclanthology.org/P10-1120.pdf,The Influence of Discourse on Syntax: A Psycholinguistic Model of Sentence Processing,Amit Dubey,None
