conference,url,title,authors,abstract,citations
acl,https://aclanthology.org/P15-1073.pdf,Demographic Factors Improve Classification Performance,Dirk Hovy,None,150
acl,https://aclanthology.org/P15-1074.pdf,Vector-space calculation of semantic surprisal for predicting word pronunciation duration,"Asad Sayeed,Stefan Fischer,Vera Demberg",None,11
acl,https://aclanthology.org/P15-1075.pdf,Efficient Methods for Inferring Large Sparse Topic Hierarchies,"Doug Downey,Chandra Bhagavatula,Yi Yang",None,14
acl,https://aclanthology.org/P15-1076.pdf,Trans-dimensional Random Fields for Language Modeling,"Bin Wang,Zhijian Ou,Zhiqiang Tan",None,14
acl,https://aclanthology.org/P15-1077.pdf,Gaussian LDA for Topic Models with Word Embeddings,"Rajarshi Das,Manzil Zaheer,Chris Dyer",None,352
acl,https://aclanthology.org/P15-1078.pdf,Pairwise Neural Machine Translation Evaluation,"Francisco Guzmán,Shafiq Joty,Lluís Màrquez,Preslav Nakov",None,40
acl,https://aclanthology.org/P15-1079.pdf,String-to-Tree Multi Bottom-up Tree Transducers,"Nina Seemann,Fabienne Braune,Andreas Maletti",None,10
acl,https://aclanthology.org/P15-1080.pdf,Non-linear Learning for Statistical Machine Translation,"Shujian Huang,Huadong Chen,Xin-Yu Dai,Jiajun Chen",None,5
acl,https://aclanthology.org/P15-1081.pdf,Unifying Bayesian Inference and Vector Space Models for Improved Decipherment,"Qing Dou,Ashish Vaswani,Kevin Knight,Chris Dyer",None,19
acl,https://aclanthology.org/P15-1082.pdf,Non-projective Dependency-based Pre-Reordering with Recurrent Neural Network for Machine Translation,"Antonio Valerio Miceli-Barone,Giuseppe Attardi",None,20
acl,https://aclanthology.org/P15-1083.pdf,Detecting Deceptive Groups Using Conversations and Network Analysis,"Dian Yu,Yulia Tyshchuk,Heng Ji,William Wallace",None,16
acl,https://aclanthology.org/P15-1084.pdf,WikiKreator: Improving Wikipedia Stubs Automatically,"Siddhartha Banerjee,Prasenjit Mitra",None,18
acl,https://aclanthology.org/P15-1085.pdf,Language to Code: Learning Semantic Parsers for If-This-Then-That Recipes,"Chris Quirk,Raymond Mooney,Michel Galley",None,155
acl,https://aclanthology.org/P15-1086.pdf,Deep Questions without Deep Understanding,"Igor Labutov,Sumit Basu,Lucy Vanderwende",None,99
