conference,url,title,authors,abstract
acl,https://aclanthology.org/P15-1061.pdf,Classifying Relations by Ranking with Convolutional Neural Networks,"Cícero dos Santos,Bing Xiang,Bowen Zhou",None
acl,https://aclanthology.org/P15-1062.pdf,Semantic Representations for Domain Adaptation: A Case Study on the Tree Kernel-based Method for Relation Extraction,"Thien Huu Nguyen,Barbara Plank,Ralph Grishman",None
acl,https://aclanthology.org/P15-1063.pdf,"Omnia Mutantur, Nihil Interit: Connecting Past with Present by Finding Corresponding Terms across Time","Yating Zhang,Adam Jatowt,Sourav Bhowmick,Katsumi Tanaka",None
acl,https://aclanthology.org/P15-1064.pdf,Negation and Speculation Identification in Chinese Language,"Bowei Zou,Qiaoming Zhu,Guodong Zhou",None
acl,https://aclanthology.org/P15-1065.pdf,Learning Relational Features with Backward Random Walks,"Ni Lao,Einat Minkov,William Cohen",None
acl,https://aclanthology.org/P15-1066.pdf,Learning the Semantics of Manipulation Action,"Yezhou Yang,Yiannis Aloimonos,Cornelia Fermüller,Eren Erdal Aksoy",None
acl,https://aclanthology.org/P15-1067.pdf,Knowledge Graph Embedding via Dynamic Mapping Matrix,"Guoliang Ji,Shizhu He,Liheng Xu,Kang Liu,Jun Zhao",None
acl,https://aclanthology.org/P15-1068.pdf,How Far are We from Fully Automatic High Quality Grammatical Error Correction?,"Christopher Bryant,Hwee Tou Ng",None
acl,https://aclanthology.org/P15-1069.pdf,Knowledge Portability with Semantic Expansion of Ontology Labels,"Mihael Arcan,Marco Turchi,Paul Buitelaar",None
acl,https://aclanthology.org/P15-1070.pdf,Automatic disambiguation of English puns,"Tristan Miller,Iryna Gurevych",None
acl,https://aclanthology.org/P15-1071.pdf,Unsupervised Cross-Domain Word Representation Learning,"Danushka Bollegala,Takanori Maehara,Ken-ichi Kawarabayashi",None
acl,https://aclanthology.org/P15-1072.pdf,A Unified Multilingual Semantic Representation of Concepts,"José Camacho-Collados,Mohammad Taher Pilehvar,Roberto Navigli",None
acl,https://aclanthology.org/P15-1073.pdf,Demographic Factors Improve Classification Performance,Dirk Hovy,None
acl,https://aclanthology.org/P15-1074.pdf,Vector-space calculation of semantic surprisal for predicting word pronunciation duration,"Asad Sayeed,Stefan Fischer,Vera Demberg",None
acl,https://aclanthology.org/P15-1075.pdf,Efficient Methods for Inferring Large Sparse Topic Hierarchies,"Doug Downey,Chandra Bhagavatula,Yi Yang",None
acl,https://aclanthology.org/P15-1076.pdf,Trans-dimensional Random Fields for Language Modeling,"Bin Wang,Zhijian Ou,Zhiqiang Tan",None
acl,https://aclanthology.org/P15-1077.pdf,Gaussian LDA for Topic Models with Word Embeddings,"Rajarshi Das,Manzil Zaheer,Chris Dyer",None
acl,https://aclanthology.org/P15-1078.pdf,Pairwise Neural Machine Translation Evaluation,"Francisco Guzmán,Shafiq Joty,Lluís Màrquez,Preslav Nakov",None
acl,https://aclanthology.org/P15-1079.pdf,String-to-Tree Multi Bottom-up Tree Transducers,"Nina Seemann,Fabienne Braune,Andreas Maletti",None
acl,https://aclanthology.org/P15-1080.pdf,Non-linear Learning for Statistical Machine Translation,"Shujian Huang,Huadong Chen,Xin-Yu Dai,Jiajun Chen",None
acl,https://aclanthology.org/P15-1081.pdf,Unifying Bayesian Inference and Vector Space Models for Improved Decipherment,"Qing Dou,Ashish Vaswani,Kevin Knight,Chris Dyer",None
acl,https://aclanthology.org/P15-1082.pdf,Non-projective Dependency-based Pre-Reordering with Recurrent Neural Network for Machine Translation,"Antonio Valerio Miceli-Barone,Giuseppe Attardi",None
acl,https://aclanthology.org/P15-1083.pdf,Detecting Deceptive Groups Using Conversations and Network Analysis,"Dian Yu,Yulia Tyshchuk,Heng Ji,William Wallace",None
acl,https://aclanthology.org/P15-1084.pdf,WikiKreator: Improving Wikipedia Stubs Automatically,"Siddhartha Banerjee,Prasenjit Mitra",None
acl,https://aclanthology.org/P15-1085.pdf,Language to Code: Learning Semantic Parsers for If-This-Then-That Recipes,"Chris Quirk,Raymond Mooney,Michel Galley",None
acl,https://aclanthology.org/P15-1086.pdf,Deep Questions without Deep Understanding,"Igor Labutov,Sumit Basu,Lucy Vanderwende",None
